,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,LeBron James,35.0,6,236,68,115,15,36,28,42,12,59,71,51,7,3,21,13,179,0.591,0.417,0.667,39.3,29.8,11.8,8.5,1.2,0.5
1,Anthony Davis,26.0,6,229,56,98,8,19,30,32,20,44,64,19,8,12,16,18,150,0.571,0.421,0.938,38.2,25.0,10.7,3.2,1.3,2.0
2,Kentavious Caldwell-Pope,26.0,6,188,26,69,13,43,12,14,4,13,17,12,6,1,4,15,77,0.377,0.302,0.857,31.3,12.8,2.8,2.0,1.0,0.2
3,Rajon Rondo,33.0,6,156,19,49,7,21,7,8,6,25,31,33,6,0,10,11,52,0.388,0.333,0.875,26.0,8.7,5.2,5.5,1.0,0.0
4,Kyle Kuzma,24.0,6,130,17,48,9,29,8,10,6,11,17,3,1,1,7,14,51,0.354,0.31,0.8,21.7,8.5,2.8,0.5,0.2,0.2
5,Danny Green,32.0,6,137,16,49,11,38,2,2,4,13,17,7,6,5,5,11,45,0.327,0.289,1.0,22.8,7.5,2.8,1.2,1.0,0.8
6,Markieff Morris,30.0,6,128,14,38,12,30,5,6,5,15,20,7,0,0,6,15,45,0.368,0.4,0.833,21.3,7.5,3.3,1.2,0.0,0.0
7,Alex Caruso,25.0,6,149,13,30,6,16,6,8,7,8,15,14,5,1,8,11,38,0.433,0.375,0.75,24.8,6.3,2.5,2.3,0.8,0.2
8,Dwight Howard,34.0,6,71,6,8,1,1,4,7,6,11,17,4,1,2,5,13,17,0.75,1.0,0.571,11.8,2.8,2.8,0.7,0.2,0.3
9,Quinn Cook,26.0,2,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,3,0.5,0.5,,1.5,1.5,0.0,0.0,0.0,0.0
10,J.R. Smith,34.0,3,10,1,3,1,3,0,0,0,1,1,0,1,0,0,3,3,0.333,0.333,,3.3,1.0,0.3,0.0,0.3,0.0
11,Jared Dudley,34.0,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.3
12,Team Totals,,6,1440,237,510,84,239,102,129,70,200,270,150,41,26,82,124,660,0.465,0.351,0.791,240.0,110.0,45.0,25.0,6.8,4.3
